"Export for HP:0012823"
"Gene","Associated diseases"
"FGFR2 (2263)","Pfeiffer syndrome type 1 (ORPHA:93258), Pfeiffer syndrome type 2 (ORPHA:93259), Saethre-Chotzen syndrome (ORPHA:794), Apert syndrome (ORPHA:87), Familial scaphocephaly syndrome, McGilli... (ORPHA:168624), Antley-Bixler syndrome (ORPHA:83), Cutis gyrata-acanthosis nigricans-cranio... (ORPHA:1555), Crouzon disease (ORPHA:207), ANTLEY-BIXLER SYNDROME WITHOUT GENITAL A... (OMIM:207410), Jackson-Weiss syndrome (ORPHA:1540), CROUZON SYNDROME (OMIM:123500), FAMILIAL SCAPHOCEPHALY SYNDROME, MCGILLI... (OMIM:609579), FGFR2-related bent bone dysplasia (ORPHA:313855), JACKSON-WEISS SYNDROME (OMIM:123150), BEARE-STEVENSON CUTIS GYRATA SYNDROME (OMIM:123790), APERT SYNDROME (OMIM:101200), GASTRIC CANCERGASTRIC CANCER, INTESTINAL... (OMIM:613659), BENT BONE DYSPLASIA SYNDROME (OMIM:614592), SAETHRE-CHOTZEN SYNDROME (OMIM:101400), LACRIMOAURICULODENTODIGITAL SYNDROME (OMIM:149730), Pfeiffer syndrome type 3 (ORPHA:93260), PFEIFFER SYNDROME (OMIM:101600)"
"MME (4311)","SPINOCEREBELLAR ATAXIA 43 (OMIM:617018), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:617017)"
"ABCD1 (215)","ADRENOLEUKODYSTROPHY (OMIM:300100)"
"HAX1 (10456)","NEUTROPENIA, SEVERE CONGENITAL, AUTOSOMA... (OMIM:610738)"
"MMP2 (4313)","TORG-WINCHESTER SYNDROME (OMIM:259600)"
"FHL1 (2273)","MYOPATHY, REDUCING BODY, X-LINKED, CHILD... (OMIM:300718), URUGUAY FACIOCARDIOMUSCULOSKELETAL SYNDR... (OMIM:300280), SCAPULOPERONEAL MYOPATHY, X-LINKED DOMIN... (OMIM:300695), MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE... (OMIM:300696), MYOPATHY, REDUCING BODY, X-LINKED, EARLY... (OMIM:300717)"
"TRMT5 (57570)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:616539)"
"POMK (84197)","Walker-Warburg syndrome (ORPHA:899), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:616094), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:615249)"
"DHTKD1 (55526)","2-AMINOADIPIC 2-OXOADIPIC ACIDURIA (OMIM:204750), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:615025)"
"ZBTB18 (10472)","Distal monosomy 1q (ORPHA:36367), MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:612337)"
"ALDH6A1 (4329)","METHYLMALONATE SEMIALDEHYDE DEHYDROGENAS... (OMIM:614105)"
"MN1 (4330)","MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO (OMIM:607174)"
"SLC30A10 (55532)","HYPERMANGANESEMIA WITH DYSTONIA 1 (OMIM:613280)"
"KCNT1 (57582)","EPILEPSY, NOCTURNAL FRONTAL LOBE, 5 (OMIM:615005), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:614959)"
"NR0B2 (8431)","OBESITY (OMIM:601665)"
"MOCS1 (4337)","MOLYBDENUM COFACTOR DEFICIENCY, COMPLEME... (OMIM:252150)"
"MOCS2 (4338)","MOLYBDENUM COFACTOR DEFICIENCY, COMPLEME... (OMIM:252160)"
"SDHA (6389)","PARAGANGLIOMAS 5 (OMIM:614165), Gastrointestinal stromal tumor (ORPHA:44890), Familial isolated dilated cardiomyopathy (ORPHA:154), MITOCHONDRIAL COMPLEX II DEFICIENCY (OMIM:252011), LEIGH SYNDROME (OMIM:256000), CARDIOMYOPATHY, DILATED, 1GG (OMIM:613642)"
"SDHB (6390)","Gastrointestinal stromal tumor (ORPHA:44890), PHEOCHROMOCYTOMA (OMIM:171300), GASTROINTESTINAL STROMAL TUMOR (OMIM:606764), COWDEN-LIKE SYNDROME (OMIM:612359), Cowden syndrome (ORPHA:201), CARNEY-STRATAKIS SYNDROME (OMIM:606864), PARAGANGLIOMAS 4 (OMIM:115310), Carney-Stratakis syndrome (ORPHA:97286)"
"SDHC (6391)","Gastrointestinal stromal tumor (ORPHA:44890), GASTROINTESTINAL STROMAL TUMOR (OMIM:606764), Cowden syndrome (ORPHA:201), CARNEY-STRATAKIS SYNDROME (OMIM:606864), PARAGANGLIOMAS 3 (OMIM:605373), Carney-Stratakis syndrome (ORPHA:97286)"
"SDHD (6392)","PARAGANGLIOMAS 1 (OMIM:168000), Carcinoid syndrome (ORPHA:100093), PHEOCHROMOCYTOMA (OMIM:171300), Cowden syndrome (ORPHA:201), COWDEN SYNDROME 3 (OMIM:615106), MITOCHONDRIAL COMPLEX II DEFICIENCY (OMIM:252011), CARNEY-STRATAKIS SYNDROME (OMIM:606864), Carney-Stratakis syndrome (ORPHA:97286), CARCINOID TUMORS, INTESTINAL (OMIM:114900)"
"ZNF687 (57592)","PAGET DISEASE OF BONE 6 (OMIM:616833)"
"MPV17 (4358)","MITOCHONDRIAL DNA DEPLETION SYNDROME 6 (... (OMIM:256810)"
"MPZ (4359)","NEUROPATHY, CONGENITAL HYPOMYELINATING (OMIM:605253), CHARCOT-MARIE-TOOTH DISEASE, DOMINANT IN... (OMIM:607791), ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASI... (OMIM:180800), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:607677), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:607736), Roussy-Lévy syndrome (ORPHA:3115), HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTT... (OMIM:145900), CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATI... (OMIM:118200)"
"TMEM126A (84233)","OPTIC ATROPHY 7 WITH OR WITHOUT AUDITORY... (OMIM:612989)"
"DIP2B (57609)","MENTAL RETARDATION, FRA12A TYPE (OMIM:136630)"
"AMELX (265)","AMELOGENESIS IMPERFECTA, TYPE IE (OMIM:301200)"
"MRE11 (4361)","ATAXIA-TELANGIECTASIA-LIKE DISORDER 1 (OMIM:604391), Hereditary breast and ovarian cancer syn... (ORPHA:145)"
"COG2 (22796)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:617395), COG2-CDG (ORPHA:435934)"
"FLNA (2316)","FG SYNDROME 2 (OMIM:300321), Otopalatodigital syndrome type 1 (ORPHA:90650), OTOPALATODIGITAL SYNDROME, TYPE II (OMIM:304120), Otopalatodigital syndrome type 2 (ORPHA:90652), Congenital short bowel syndrome (ORPHA:2301), INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, ... (OMIM:300048), TERMINAL OSSEOUS DYSPLASIA (OMIM:300244), CARDIAC VALVULAR DYSPLASIA, X-LINKED (OMIM:314400), MELNICK-NEEDLES SYNDROME (OMIM:309350), OTOPALATODIGITAL SYNDROME, TYPE I (OMIM:311300), Ehlers-Danlos syndrome with periventricu... (ORPHA:82004), HETEROTOPIA, PERIVENTRICULAR, X-LINKED D... (OMIM:300049), FRONTOMETAPHYSEAL DYSPLASIA (OMIM:305620), Frontometaphyseal dysplasia (ORPHA:1826)"
"FLNC (2318)","MYOPATHY, DISTAL, 4 (OMIM:614065), FILAMINOPATHY, AUTOSOMAL DOMINANT (OMIM:609524), CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 2... (OMIM:617047)"
"AMPD1 (270)","MYOPATHY DUE TO MYOADENYLATE DEAMINASE D... (OMIM:615511), Adenosine monophosphate deaminase defici... (ORPHA:45)"
"DCDC2 (51473)","SCLEROSING CHOLANGITIS, NEONATAL (OMIM:617394), DEAFNESS, AUTOSOMAL RECESSIVE 66 (OMIM:610212), NEPHRONOPHTHISIS 19 (OMIM:616217)"
"BIN1 (274)","MYOPATHY, CENTRONUCLEAR, 2 (OMIM:255200)"
"FOXRED1 (55572)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010), LEIGH SYNDROME (OMIM:256000)"
"FLT4 (2324)","HEMANGIOMA, CAPILLARY INFANTILE (OMIM:602089), LYMPHEDEMA, HEREDITARY, IA (OMIM:153100)"
"CIB2 (10518)","DEAFNESS, AUTOSOMAL RECESSIVE 48 (OMIM:609439), USHER SYNDROME, TYPE IJ (OMIM:614869), Usher syndrome type 1 (ORPHA:231169)"
"EDC3 (80153)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:616460)"
"DEAF1 (10522)","Smith-Magenis syndrome (ORPHA:819), DYSKINESIA, SEIZURES, AND INTELLECTUAL D... (OMIM:617171), MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:615828)"
"FMR1 (2332)","Fragile X-associated tremor/ataxia syndr... (ORPHA:93256), FRAGILE X TREMOR/ATAXIA SYNDROME (OMIM:300623), Xq27.3q28 duplication syndrome (ORPHA:261483), Fragile X syndrome (ORPHA:908), FRAGILE X MENTAL RETARDATION SYNDROME (OMIM:300624), PREMATURE OVARIAN FAILURE 1 (OMIM:311360)"
"FN1 (2335)","GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS... (OMIM:601894), PLASMA FIBRONECTIN DEFICIENCY (OMIM:614101), Fibronectin glomerulopathy (ORPHA:84090)"
"DCPS (28960)","AL-RAQAD SYNDROME (OMIM:616459)"
"NOP56 (10528)","SPINOCEREBELLAR ATAXIA 36 (OMIM:614153)"
"OFD1 (8481)","RETINITIS PIGMENTOSA 23 (OMIM:300424), Retinitis pigmentosa (ORPHA:791), JOUBERT SYNDROME 10 (OMIM:300804), OROFACIODIGITAL SYNDROME I (OMIM:311200), Orofaciodigital syndrome type 1 (ORPHA:2750), SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 2 (OMIM:300209), Primary ciliary dyskinesia (ORPHA:244)"
"SLC25A4 (291)","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:609283), MITOCHONDRIAL DNA DEPLETION SYNDROME 12A... (OMIM:617184), MITOCHONDRIAL DNA DEPLETION SYNDROME 12 ... (OMIM:615418), Congenital cataract-hypertrophic cardiom... (ORPHA:1369)"
"RNASEH2A (10535)","AICARDI-GOUTIERES SYNDROME 4 (OMIM:610333), Aicardi-Goutières syndrome (ORPHA:51)"
"SFTPB (6439)","SURFACTANT METABOLISM DYSFUNCTION, PULMO... (OMIM:265120)"
"CTC1 (80169)","Dyskeratosis congenita (ORPHA:1775), CEREBRORETINAL MICROANGIOPATHY WITH CALC... (OMIM:612199)"
"SFTPC (6440)","PULMONARY FIBROSIS, IDIOPATHIC (OMIM:178500), SURFACTANT METABOLISM DYSFUNCTION, PULMO... (OMIM:610913), Idiopathic pulmonary fibrosis (ORPHA:2032)"
"SGCA (6442)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2D (OMIM:608099)"
"SGCB (6443)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2E (OMIM:604286)"
"PUF60 (22827)","VERHEIJ SYNDROME (OMIM:615583)"
"SGCG (6445)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2C (OMIM:253700)"
"HIKESHI (51501)","LEUKODYSTROPHY, HYPOMYELINATING, 13 (OMIM:616881)"
"SH3BP2 (6452)","Cherubism (ORPHA:184), CHERUBISM (OMIM:118400)"
"FLVCR1 (28982)","POSTERIOR COLUMN ATAXIA WITH RETINITIS P... (OMIM:609033)"
"UVSSA (57654)","UV-SENSITIVE SYNDROME 3 (OMIM:614640)"
"TTI2 (80185)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615541)"
"SLC35A1 (10559)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:603585), SLC35A1-CDG (ORPHA:238459)"
"TUBB (203068)","SKIN CREASES, CONGENITAL SYMMETRIC CIRCU... (OMIM:156610), CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:615771), Multiple benign circumferential skin cre... (ORPHA:2505)"
"ARFGEF2 (10564)","PERIVENTRICULAR HETEROTOPIA WITH MICROCE... (OMIM:608097)"
"ITGA8 (8516)","Renal agenesis, bilateral (ORPHA:1848), RENAL HYPODYSPLASIA/APLASIA 1 (OMIM:191830)"
"APC (324)","Desmoid tumor (ORPHA:873), Cenani-Lenz syndrome (ORPHA:3258), COLORECTAL CANCER (OMIM:114500), DESMOID DISEASE, HEREDITARY (OMIM:135290), GASTRIC CANCERGASTRIC CANCER, INTESTINAL... (OMIM:613659), FAMILIAL ADENOMATOUS POLYPOSIS 1 (OMIM:175100), HEPATOCELLULAR CARCINOMA (OMIM:114550)"
"SHH (6469)","Hypoplastic tibiae-postaxial polydactyly... (ORPHA:3332), SOLITARY MEDIAN MAXILLARY CENTRAL INCISO... (OMIM:147250), Syndactyly type 4 (ORPHA:93405), MICROPHTHALMIA, ISOLATED, WITH COLOBOMA ... (OMIM:611638), SCHIZENCEPHALY (OMIM:269160), HOLOPROSENCEPHALY 3 (OMIM:142945), Solitary median maxillary central inciso... (ORPHA:2286)"
"AIRE (326)","Autoimmune polyendocrinopathy type 1 (ORPHA:3453), AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE ... (OMIM:240300)"
"ELP1 (8518)","NEUROPATHY, HEREDITARY SENSORY AND AUTON... (OMIM:223900), Familial dysautonomia (ORPHA:1764)"
"POMGNT1 (55624)","Retinitis pigmentosa (ORPHA:791), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:253280), Muscle-eye-brain disease (ORPHA:588), Walker-Warburg syndrome (ORPHA:899), RETINITIS PIGMENTOSA 76 (OMIM:617123), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:613157), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613151)"
"SLC34A2 (10568)","TESTICULAR MICROLITHIASIS (OMIM:610441), PULMONARY ALVEOLAR MICROLITHIASIS (OMIM:265100)"
"UQCC2 (84300)","MITOCHONDRIAL COMPLEX III DEFICIENCY, NU... (OMIM:615824)"
"SLC39A4 (55630)","ACRODERMATITIS ENTEROPATHICA, ZINC-DEFIC... (OMIM:201100), Acrodermatitis enteropathica (ORPHA:37)"
"DGKE (8526)","NEPHROTIC SYNDROME, TYPE 7 (OMIM:615008)"
"ALS2 (57679)","AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENIL... (OMIM:205100), Infantile-onset ascending hereditary spa... (ORPHA:293168), Juvenile primary lateral sclerosis (ORPHA:247604), SPASTIC PARALYSIS, INFANTILE-ONSET ASCEN... (OMIM:607225), PRIMARY LATERAL SCLEROSIS, JUVENILE (OMIM:606353), Juvenile amyotrophic lateral sclerosis (ORPHA:300605)"
"NPC2 (10577)","NIEMANN-PICK DISEASE, TYPE C2 (OMIM:607625)"
"SPG11 (80208)","SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSI... (OMIM:604360), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:616668), Autosomal recessive spastic paraplegia t... (ORPHA:2822), Juvenile amyotrophic lateral sclerosis (ORPHA:300605), AMYOTROPHIC LATERAL SCLEROSIS 5, JUVENIL... (OMIM:602099)"
"CHD7 (55636)","CHARGE syndrome (ORPHA:138), CHARGE SYNDROME (OMIM:214800), Omenn syndrome (ORPHA:39041), Kallmann syndrome (ORPHA:478), TRACHEOESOPHAGEAL FISTULA WITH OR WITHOU... (OMIM:189960), Normosmic congenital hypogonadotropic hy... (ORPHA:432), HYPOGONADOTROPIC HYPOGONADISM 5 WITH OR ... (OMIM:612370)"
"POMT1 (10585)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613155), Muscle-eye-brain disease (ORPHA:588), Walker-Warburg syndrome (ORPHA:899), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:236670), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:609308)"
"STIL (6491)","MICROCEPHALY 7, PRIMARY, AUTOSOMAL RECES... (OMIM:612703), Autosomal recessive primary microcephaly (ORPHA:2512)"
"FXN (2395)","FRIEDREICH ATAXIA 1 (OMIM:229300), Friedreich ataxia (ORPHA:95)"
"SIM1 (6492)","Obesity due to SIM1 deficiency (ORPHA:369873), OBESITY (OMIM:601665), 6q16 deletion syndrome (ORPHA:171829)"
"APOE (348)","ALZHEIMER DISEASE 2 (OMIM:104310), Sea-blue histiocytosis (ORPHA:158029), Hyperlipoproteinemia type 3 (ORPHA:412), SEA-BLUE HISTIOCYTE DISEASE (OMIM:269600), LIPOPROTEIN GLOMERULOPATHY (OMIM:611771), ALZHEIMER DISEASE 4 (OMIM:606889)"
"CCDC115 (84317)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:616828)"
"TARS2 (80222)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:615918)"
"SIX1 (6495)","BRANCHIOOTORENAL SYNDROME 1 (OMIM:113650), BRANCHIOOTIC SYNDROME 3 (OMIM:608389), BOR syndrome (ORPHA:107), Branchiootic syndrome (ORPHA:52429), DEAFNESS, AUTOSOMAL DOMINANT 23 (OMIM:605192)"
"MORC2 (22880)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:616688)"
"SIX3 (6496)","SCHIZENCEPHALY (OMIM:269160), HOLOPROSENCEPHALY 2 (OMIM:157170)"
"NUBPL (80224)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"AP3B1 (8546)","HERMANSKY-PUDLAK SYNDROME 2 (OMIM:608233)"
"PRPF8 (10594)","Retinitis pigmentosa (ORPHA:791), RETINITIS PIGMENTOSA 13 (OMIM:600059)"
"NHP2 (55651)","Dyskeratosis congenita (ORPHA:1775), DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:224230), DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:613987)"
"AQP2 (359)","DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOM... (OMIM:125800), Nephrogenic diabetes insipidus (ORPHA:223)"
"GBA2 (57704)","SPASTIC PARAPLEGIA 46, AUTOSOMAL RECESSI... (OMIM:614409)"
"SLC1A2 (6506)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:617105)"
"SLC1A4 (6509)","SPASTIC TETRAPLEGIA, THIN CORPUS CALLOSU... (OMIM:616657)"
"AR (367)","ANDROGEN INSENSITIVITY, PARTIAL (OMIM:312300), Partial androgen insensitivity syndrome (ORPHA:90797), SPINAL AND BULBAR MUSCULAR ATROPHY, X-LI... (OMIM:313200), Familial hypospadias (ORPHA:440), ANDROGEN INSENSITIVITY SYNDROME (OMIM:300068), HYPOSPADIAS 1, X-LINKED (OMIM:300633), Kennedy disease (ORPHA:481), Complete androgen insensitivity syndrome (ORPHA:99429)"
"SLC2A1 (6513)","Encephalopathy due to GLUT1 deficiency (ORPHA:71277), STOMATIN-DEFICIENT CRYOHYDROCYTOSIS WITH... (OMIM:608885), Paroxysmal exertion-induced dyskinesia (ORPHA:98811)"
"CEP164 (22897)","Senior-Loken syndrome (ORPHA:3156), NEPHRONOPHTHISIS 15 (OMIM:614845)"
"PRX (57716)","CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATI... (OMIM:614895), HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTT... (OMIM:145900)"
"ERLIN1 (10613)","SPASTIC PARAPLEGIA 62, AUTOSOMAL RECESSI... (OMIM:615681)"
"SLC3A1 (6519)","Hypotonia-cystinuria syndrome (ORPHA:163690), CYSTINURIA (OMIM:220100), 2p21 microdeletion syndrome (ORPHA:163693)"
"RBCK1 (10616)","POLYGLUCOSAN BODY MYOPATHY 1 WITH OR WIT... (OMIM:615895)"
"STAMBP (10617)","MICROCEPHALY-CAPILLARY MALFORMATION SYND... (OMIM:614261)"
"EPG5 (57724)","VICI SYNDROME (OMIM:242840), Vici syndrome (ORPHA:1493)"
"SLC5A2 (6524)","RENAL GLUCOSURIA (OMIM:233100)"
"FAN1 (22909)","Lynch syndrome (ORPHA:144), INTERSTITIAL NEPHRITIS, KARYOMEGALIC (OMIM:614817)"
"MTFMT (123263)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614947)"
"PRKRA (8575)","DYSTONIA 16 (OMIM:612067)"
"LIMS2 (55679)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2W (OMIM:616827)"
"TPK1 (27010)","THIAMINE METABOLISM DYSFUNCTION SYNDROME... (OMIM:614458)"
"SLC6A3 (6531)","PARKINSONISM-DYSTONIA, INFANTILE (OMIM:613135)"
"SLC6A8 (6535)","X-linked creatine transporter deficiency (ORPHA:52503), CEREBRAL CREATINE DEFICIENCY SYNDROME 1 (OMIM:300352)"
"SLC6A9 (6536)","GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM... (OMIM:617301)"
"ARHGDIA (396)","NEPHROTIC SYNDROME, TYPE 8 (OMIM:615244)"
"HSD3B7 (80270)","Congenital bile acid synthesis defect ty... (ORPHA:79301), BILE ACID SYNTHESIS DEFECT, CONGENITAL, ... (OMIM:607765)"
"SETD2 (29072)","Sotos syndrome (ORPHA:821), LUSCAN-LUMISH SYNDROME (OMIM:616831)"
"LIPT1 (51601)","LIPOYLTRANSFERASE 1 DEFICIENCY (OMIM:616299)"
"NPRL2 (10641)","EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE ... (OMIM:617116)"
"VAC14 (55697)","STRIATONIGRAL DEGENERATION, CHILDHOOD-ON... (OMIM:617054)"
"SLC9A1 (6548)","LICHTENSTEIN-KNORR SYNDROME (OMIM:616291)"
"PIGT (51604)","PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 2 (OMIM:615399), MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-... (OMIM:615398)"
"NDUFAF4 (29078)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"POLR3B (55703)","Hypomyelination-hypogonadotropic hypogon... (ORPHA:88637), LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH... (OMIM:614381), HYPOGONADOTROPIC HYPOGONADISM 7 WITH OR ... (OMIM:146110), LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH... (OMIM:607694)"
"PIEZO2 (63895)","MARDEN-WALKER SYNDROME (OMIM:248700), ARTHROGRYPOSIS, DISTAL, WITH IMPAIRED PR... (OMIM:617146), Gordon syndrome (ORPHA:376), ARTHROGRYPOSIS, DISTAL, TYPE 5 (OMIM:108145), Marden-Walker syndrome (ORPHA:2461), Arthrogryposis- oculomotor limitation-el... (ORPHA:1154), ARTHROGRYPOSIS, DISTAL, TYPE 3 (OMIM:114300)"
"SLC10A2 (6555)","BILE ACID MALABSORPTION, PRIMARY (OMIM:613291)"
"SLC25A12 (8604)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:612949)"
"ATP6 (4508)","Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000), NEUROPATHY, ATAXIA, AND RETINITIS PIGMEN... (OMIM:551500)"
"PMVK (10654)","Porokeratosis of Mibelli (ORPHA:735), POROKERATOSIS OF MIBELLI (OMIM:175800)"
"TRNC (4511)","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000)"
"SLC12A3 (6559)","GITELMAN SYNDROME (OMIM:263800)"
"COX1 (4512)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Leber hereditary optic neuropathy (ORPHA:104)"
"COX2 (4513)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000)"
"COX3 (4514)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000)"
"G6PC3 (92579)","NEUTROPENIA, SEVERE CONGENITAL, 4, AUTOS... (OMIM:612541)"
"CCT5 (22948)","NEUROPATHY, HEREDITARY SENSORY, WITH SPA... (OMIM:256840)"
"KLF13 (51621)","CHROMOSOME 15q13.3 MICRODELETION SYNDROM... (OMIM:612001)"
"KLF1 (10661)","Hereditary persistence of fetal hemoglob... (ORPHA:46532), BLOOD GROUP--LUTHERAN INHIBITOR (OMIM:111150), ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TY... (OMIM:613673)"
"CYTB (4519)","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000)"
"UQCC3 (790955)","MITOCHONDRIAL COMPLEX III DEFICIENCY, NU... (OMIM:616111)"
"SLC16A2 (6567)","ALLAN-HERNDON-DUDLEY SYNDROME (OMIM:300523), Allan-Herndon-Dudley syndrome (ORPHA:59)"
"TRIM32 (22954)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2H (OMIM:254110), BARDET-BIEDL SYNDROME 11 (OMIM:615988), Autosomal recessive limb-girdle muscular... (ORPHA:1878), Bardet-Biedl syndrome (ORPHA:110)"
"FARS2 (10667)","SPASTIC PARAPLEGIA 77, AUTOSOMAL RECESSI... (OMIM:617046), COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614946)"
"ASAH1 (427)","Farber disease (ORPHA:333), Spinal muscular atrophy-progressive myoc... (ORPHA:2590), FARBER LIPOGRANULOMATOSIS (OMIM:228000), SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE... (OMIM:159950)"
"MTOR (2475)","SMITH-KINGSMORE SYNDROME (OMIM:616638), FOCAL CORTICAL DYSPLASIA, TYPE II (OMIM:607341)"
"PDE8B (8622)","STRIATAL DEGENERATION, AUTOSOMAL DOMINAN... (OMIM:609161), PIGMENTED NODULAR ADRENOCORTICAL DISEASE... (OMIM:614190), Autosomal dominant striatal neurodegener... (ORPHA:228169), Primary pigmented nodular adrenocortical... (ORPHA:189439)"
"SLC20A2 (6575)","BASAL GANGLIA CALCIFICATION, IDIOPATHIC,... (OMIM:213600), Bilateral striopallidodentate calcinosis (ORPHA:1980)"
"OTUD6B (51633)","INTELLECTUAL DEVELOPMENTAL DISORDER WITH... (OMIM:617452)"
"TP63 (8626)","LIMB-MAMMARY SYNDROME (OMIM:603543), ADULT SYNDROME (OMIM:103285), SPLIT-HAND/FOOT MALFORMATION 4 (OMIM:605289), Bladder exstrophy (ORPHA:93930), RAPP-HODGKIN SYNDROME (OMIM:129400), ADULT syndrome (ORPHA:978), Ankyloblepharon-ectodermal defects-cleft... (ORPHA:1071), ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT... (OMIM:106260), EEC syndrome (ORPHA:1896), ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND ... (OMIM:604292), Split hand-split foot malformation (ORPHA:2440)"
"ASL (435)","ARGININOSUCCINIC ACIDURIA (OMIM:207900), Argininosuccinic aciduria (ORPHA:23)"
"FRG1 (2483)","Facioscapulohumeral dystrophy (ORPHA:269), FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1 (OMIM:158900)"
"FLAD1 (80308)","LIPID STORAGE MYOPATHY DUE TO FLAVIN ADE... (OMIM:255100)"
"ZNF335 (63925)","MICROCEPHALY 10, PRIMARY, AUTOSOMAL RECE... (OMIM:615095), Microcephalic primordial dwarfism due to... (ORPHA:329228)"
