"Export for HP:0000118"
"Gene","Associated diseases"
"GPR101 (83550)","PITUITARY ADENOMA, GROWTH HORMONE-SECRET... (OMIM:300943), Acromegaly (ORPHA:963)"
"MFRP (83552)","MICROPHTHALMIA, ISOLATED 5 (OMIM:611040), Nanophthalmia (ORPHA:35612), NANOPHTHALMOS 2 (OMIM:609549)"
"METTL23 (124512)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615942)"
"DCN (1634)","CORNEAL DYSTROPHY, CONGENITAL STROMAL (OMIM:610048)"
"ACE (1636)","RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"DNAJC6 (9829)","Atypical juvenile parkinsonism (ORPHA:391411), PARKINSON DISEASE 19A, JUVENILE-ONSET (OMIM:615528)"
"DCTN1 (1639)","NEURONOPATHY, DISTAL HEREDITARY MOTOR, T... (OMIM:607641), Perry syndrome (ORPHA:178509), PERRY SYNDROME (OMIM:168605), Amyotrophic lateral sclerosis (ORPHA:803)"
"DCX (1641)","LISSENCEPHALY, X-LINKED, 1 (OMIM:300067), Lissencephaly type 1 due to doublecortin... (ORPHA:2148)"
"DDB2 (1643)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278740), Xeroderma pigmentosum (ORPHA:910)"
"NEK9 (91754)","Nevus comedonicus syndrome (ORPHA:64754), ARTHROGRYPOSIS, PERTHES DISEASE, AND UPW... (OMIM:614262), NEVUS COMEDONICUS (OMIM:617025), LETHAL CONGENITAL CONTRACTURE SYNDROME 1... (OMIM:617022)"
"DDC (1644)","AROMATIC L-AMINO ACID DECARBOXYLASE DEFI... (OMIM:608643)"
"AKR1C2 (1646)","46,XY SEX REVERSAL 8 (OMIM:614279)"
"ZEB2 (9839)","MOWAT-WILSON SYNDROME (OMIM:235730)"
"DDIT3 (1649)","MYXOID LIPOSARCOMA (OMIM:613488), Myxoid/round cell liposarcoma (ORPHA:99967)"
"ZBTB24 (9841)","IMMUNODEFICIENCY-CENTROMERIC INSTABILITY... (OMIM:614069), ICF syndrome (ORPHA:2268)"
"DDOST (1650)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:614507), DDOST-CDG (ORPHA:300536)"
"PLEKHM1 (9842)","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 6 (OMIM:611497)"
"PHGDH (26227)","Neu-Laxova syndrome (ORPHA:2671), NEU-LAXOVA SYNDROME (OMIM:256520), PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENC... (OMIM:601815)"
"SNORD116-1 (100033413)","PRADER-WILLI SYNDROME (OMIM:176270)"
"B3GAT3 (26229)","MULTIPLE JOINT DISLOCATIONS, SHORT STATU... (OMIM:245600)"
"DDX3X (1654)","MENTAL RETARDATION, X-LINKED 102 (OMIM:300958)"
"KIAA0753 (9851)","OROFACIODIGITAL SYNDROME XV (OMIM:617127)"
"FBXL4 (26235)","MITOCHONDRIAL DNA DEPLETION SYNDROME 13 ... (OMIM:615471)"
"NSDHL (50814)","CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIF... (OMIM:308050), CK SYNDROME (OMIM:300831)"
"DDX11 (1663)","WARSAW BREAKAGE SYNDROME (OMIM:613398)"
"LRIG2 (9860)","Ochoa syndrome (ORPHA:2704), UROFACIAL SYNDROME 2 (OMIM:615112)"
"KLHL3 (26249)","PSEUDOHYPOALDOSTERONISM, TYPE IID (OMIM:614495)"
"DES (1674)","SCAPULOPERONEAL SYNDROME, NEUROGENIC, KA... (OMIM:181400), MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2R (OMIM:615325), CARDIOMYOPATHY, DILATED, 1I (OMIM:604765), Familial isolated dilated cardiomyopathy (ORPHA:154), MYOPATHY, MYOFIBRILLAR, 1 (OMIM:601419)"
"CFD (1675)","COMPLEMENT FACTOR D DEFICIENCY (OMIM:613912)"
"TIMM8A (1678)","OPTICOACOUSTIC NERVE ATROPHY WITH DEMENT... (OMIM:311150), MOHR-TRANEBJAERG SYNDROME (OMIM:304700)"
"SEC24D (9871)","COLE-CARPENTER SYNDROME 2 (OMIM:616294), Cole-Carpenter syndrome (ORPHA:2050)"
"BLOC1S6 (26258)","HERMANSKY-PUDLAK SYNDROME 9 (OMIM:614171)"
"CCM2 (83605)","CEREBRAL CAVERNOUS MALFORMATIONS 2 (OMIM:603284), Familial cerebral cavernous malformation (ORPHA:221061)"
"GSDME (1687)","DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMI... (OMIM:600994)"
"COCH (1690)","DEAFNESS, AUTOSOMAL DOMINANT 9 (OMIM:601369)"
"OSBPL2 (9885)","DEAFNESS, AUTOSOMAL DOMINANT 67 (OMIM:616340)"
"DHH (50846)","46,XY SEX REVERSAL 7 (OMIM:233420), 46,XY GONADAL DYSGENESIS, PARTIAL, WITH ... (OMIM:607080), 46,XY gonadal dysgenesis-motor and senso... (ORPHA:168563), 46,XY complete gonadal dysgenesis (ORPHA:242)"
"HIBCH (26275)","Neurodegeneration due to 3-hydroxyisobut... (ORPHA:88639), 3-HYDROXYISOBUTYRYL-COA HYDROLASE DEFICI... (OMIM:250620)"
"VPS33B (26276)","ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND C... (OMIM:208085)"
"TINF2 (26277)","Dyskeratosis congenita (ORPHA:1775), DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINA... (OMIM:127550), DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINA... (OMIM:613990), REVESZ SYNDROME (OMIM:268130), Hoyeraal-Hreidarsson syndrome (ORPHA:3322)"
"TELO2 (9894)","YOU-HOOVER-FONG SYNDROME (OMIM:616954)"
"CANT1 (124583)","DESBUQUOIS DYSPLASIA 1 (OMIM:251450), Desbuquois syndrome (ORPHA:1425)"
"SACS (26278)","SPASTIC ATAXIA, CHARLEVOIX-SAGUENAY TYPE (OMIM:270550)"
"TECPR2 (9895)","SPASTIC PARAPLEGIA 49, AUTOSOMAL RECESSI... (OMIM:615031)"
"FIG4 (9896)","YUNIS-VARON SYNDROME (OMIM:216340), CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J (OMIM:611228), AMYOTROPHIC LATERAL SCLEROSIS 11 (OMIM:612577), Amyotrophic lateral sclerosis (ORPHA:803), Yunis-Varon syndrome (ORPHA:3472), POLYMICROGYRIA, BILATERAL TEMPOROOCCIPIT... (OMIM:612691)"
"WASHC5 (9897)","RITSCHER-SCHINZEL SYNDROME 1 (OMIM:220210), 3C syndrome (ORPHA:7), SPASTIC PARAPLEGIA 8, AUTOSOMAL DOMINANT (OMIM:603563)"
"FGF20 (26281)","Renal agenesis, bilateral (ORPHA:1848), RENAL HYPODYSPLASIA/APLASIA 2 (OMIM:615721)"
"USH1G (124590)","USHER SYNDROME, TYPE IG (OMIM:606943), Usher syndrome type 1 (ORPHA:231169)"
"AP5Z1 (9907)","SPASTIC PARAPLEGIA 48, AUTOSOMAL RECESSI... (OMIM:613647)"
"DGUOK (1716)","PORTAL HYPERTENSION, NONCIRRHOTIC (OMIM:617068), MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (... (OMIM:251880), PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:617070)"
"C19ORF12 (83636)","Behr syndrome (ORPHA:1239), NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:614298), SPASTIC PARAPLEGIA 43, AUTOSOMAL RECESSI... (OMIM:615043)"
"DHCR7 (1717)","Smith-Lemli-Opitz syndrome (ORPHA:818), SMITH-LEMLI-OPITZ SYNDROME (OMIM:270400)"
"DHCR24 (1718)","DESMOSTEROLOSIS (OMIM:602398), Desmosterolosis (ORPHA:35107)"
"DHFR (1719)","MEGALOBLASTIC ANEMIA DUE TO DIHYDROFOLAT... (OMIM:613839)"
"IL21 (59067)","IMMUNODEFICIENCY, COMMON VARIABLE, 11 (OMIM:615767)"
"ARNT2 (9915)","WEBB-DATTANI SYNDROME (OMIM:615926), Septo-optic dysplasia spectrum (ORPHA:3157)"
"DHODH (1723)","POSTAXIAL ACROFACIAL DYSOSTOSIS (OMIM:263750), Postaxial acrofacial dysostosis (ORPHA:246)"
"CYB5R3 (1727)","METHEMOGLOBINEMIA DUE TO DEFICIENCY OF M... (OMIM:250800)"
"DIAPH1 (1729)","SEIZURES, CORTICAL BLINDNESS, AND MICROC... (OMIM:616632), DEAFNESS, AUTOSOMAL DOMINANT 1 (OMIM:124900)"
"DIAPH2 (1730)","PREMATURE OVARIAN FAILURE 2A (OMIM:300511)"
"MFN2 (9927)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUT... (OMIM:617087), Multiple symmetric lipomatosis (ORPHA:2398), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:609260), HEREDITARY MOTOR AND SENSORY NEUROPATHY ... (OMIM:601152)"
"DKC1 (1736)","Dyskeratosis congenita (ORPHA:1775), DYSKERATOSIS CONGENITA, X-LINKED (OMIM:305000), Hoyeraal-Hreidarsson syndrome (ORPHA:3322)"
"KIF14 (9928)","MECKEL SYNDROME 12 (OMIM:616258)"
"DLAT (1737)","PYRUVATE DEHYDROGENASE E2 DEFICIENCY (OMIM:245348)"
"DLD (1738)","Pyruvate dehydrogenase E3 deficiency (ORPHA:2394), DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENC... (OMIM:246900)"
"DLG3 (1741)","MENTAL RETARDATION, X-LINKED 90 (OMIM:300850), X-linked non-syndromic intellectual disa... (ORPHA:777)"
"MAFB (9935)","MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYND... (OMIM:166300), DUANE RETRACTION SYNDROME 3 WITH OR WITH... (OMIM:617041), Multicentric carpo-tarsal osteolysis wit... (ORPHA:2774), Duane retraction syndrome (ORPHA:233)"
"RBM8A (9939)","THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME (OMIM:274000), Thrombocytopenia-absent radius syndrome (ORPHA:3320)"
"DLX3 (1747)","AMELOGENESIS IMPERFECTA, TYPE IV (OMIM:104510), TRICHODENTOOSSEOUS SYNDROME (OMIM:190320)"
"DLEC1 (9940)","Squamous cell carcinoma of esophagus (ORPHA:99977), LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980), ESOPHAGEAL CANCERESOPHAGEAL SQUAMOUS CEL... (OMIM:133239)"
"DLX4 (1748)","OROFACIAL CLEFT 15 (OMIM:616788)"
"DLX5 (1749)","SPLIT-HAND/FOOT MALFORMATION 1 WITH SENS... (OMIM:220600), Split hand-split foot malformation (ORPHA:2440)"
"DLX6 (1750)","Split hand-split foot malformation (ORPHA:2440)"
"RAB39B (116442)","Early-onset parkinsonism-intellectual di... (ORPHA:2379), X-linked non-syndromic intellectual disa... (ORPHA:777)"
"DMD (1756)","MUSCULAR DYSTROPHY, BECKER TYPE (OMIM:300376), Familial isolated dilated cardiomyopathy (ORPHA:154), MUSCULAR DYSTROPHY, DUCHENNE TYPE (OMIM:310200), Becker muscular dystrophy (ORPHA:98895), Duchenne muscular dystrophy (ORPHA:98896), X-linked non-syndromic intellectual disa... (ORPHA:777), CARDIOMYOPATHY, DILATED, 3B (OMIM:302045)"
"RFT1 (91869)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:612015), RFT1-CDG (ORPHA:244310)"
"AMMECR1 (9949)","Alport syndrome-intellectual disability-... (ORPHA:86818)"
"DMP1 (1758)","HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL RECE... (OMIM:241520), Autosomal recessive hypophosphatemic ric... (ORPHA:289176)"
"GOLGA5 (9950)","THYROID CANCER, NONMEDULLARY, 1 (OMIM:188550)"
"DNM1 (1759)","Lennox-Gastaut syndrome (ORPHA:2382), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616346)"
"DMPK (1760)","MYOTONIC DYSTROPHY 1 (OMIM:160900), Steinert myotonic dystrophy (ORPHA:273)"
"DMRT1 (1761)","46,XY complete gonadal dysgenesis (ORPHA:242)"
"DNA2 (1763)","SECKEL SYNDROME 8 (OMIM:615807), PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:615156)"
"DNAH5 (1767)","Primary ciliary dyskinesia (ORPHA:244), CILIARY DYSKINESIA, PRIMARY, 3 (OMIM:608644)"
"TSEN15 (116461)","PONTOCEREBELLAR HYPOPLASIA, TYPE 2F (OMIM:617026)"
"TNFSF15 (9966)","Primary biliary cholangitis (ORPHA:186)"
"MED12 (9968)","OHDO SYNDROME, X-LINKED (OMIM:300895), X-linked intellectual disability with ma... (ORPHA:776), LUJAN-FRYNS SYNDROME (OMIM:309520), X-linked non-syndromic intellectual disa... (ORPHA:777), OPITZ-KAVEGGIA SYNDROME (OMIM:305450)"
"DNASE1L3 (1776)","SYSTEMIC LUPUS ERYTHEMATOSUS 16 (OMIM:614420), Hypocomplementemic urticarial vasculitis (ORPHA:36412)"
"HSPB8 (26353)","NEURONOPATHY, DISTAL HEREDITARY MOTOR, T... (OMIM:158590), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:608673)"
"TRAPPC9 (83696)","Intellectual disability-obesity-brain ma... (ORPHA:352530), MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:613192)"
"DYNC1H1 (1778)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614563), SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY... (OMIM:158600), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:614228)"
"NR1H4 (9971)","CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAH... (OMIM:617049)"
"IL23R (149233)","Behçet disease (ORPHA:117)"
"JAM3 (83700)","HEMORRHAGIC DESTRUCTION OF THE BRAIN, SU... (OMIM:613730)"
"DNM2 (1785)","CHARCOT-MARIE-TOOTH DISEASE, DOMINANT IN... (OMIM:606482), LETHAL CONGENITAL CONTRACTURE SYNDROME 5 (OMIM:615368), MYOPATHY, CENTRONUCLEAR, AUTOSOMAL DOMIN... (OMIM:160150)"
"PCSK9 (255738)","Homozygous familial hypercholesterolemia (ORPHA:391665), HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT... (OMIM:603776)"
"CDON (50937)","HOLOPROSENCEPHALY 11 (OMIM:614226), Pituitary stalk interruption syndrome (ORPHA:95496)"
"DNMT1 (1786)","NEUROPATHY, HEREDITARY SENSORY, TYPE IE (OMIM:614116), CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLE... (OMIM:604121)"
"IMPG2 (50939)","Adult-onset foveomacular vitelliform dys... (ORPHA:99000), Retinitis pigmentosa (ORPHA:791), MACULAR DYSTROPHY, VITELLIFORM, 5 (OMIM:616152), RETINITIS PIGMENTOSA 56 (OMIM:613581)"
"FERMT3 (83706)","LEUKOCYTE ADHESION DEFICIENCY, TYPE III (OMIM:612840)"
"PDE11A (50940)","PIGMENTED NODULAR ADRENOCORTICAL DISEASE... (OMIM:610475), Primary pigmented nodular adrenocortical... (ORPHA:189439)"
"DNMT3A (1788)","TATTON-BROWN-RAHMAN SYNDROME (OMIM:615879)"
"DNMT3B (1789)","IMMUNODEFICIENCY-CENTROMERIC INSTABILITY... (OMIM:242860), ICF syndrome (ORPHA:2268)"
"FOXP3 (50943)","IMMUNODYSREGULATION, POLYENDOCRINOPATHY,... (OMIM:304790)"
"TBX22 (50945)","CHARGE-LIKE SYNDROME, X-LINKED (OMIM:302905), CLEFT PALATE, X-LINKED (OMIM:303400), Abruzzo-Erickson syndrome (ORPHA:921)"
"DOCK2 (1794)","IMMUNODEFICIENCY 40 (OMIM:616433)"
"ESPN (83715)","DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH O... (OMIM:609006)"
"HNRNPDL (9987)","LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G (OMIM:609115)"
"DPAGT1 (1798)","DPAGT1-CDG (ORPHA:86309), CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:608093), MYASTHENIC SYNDROME, CONGENITAL, 13 (OMIM:614750)"
"SLC12A6 (9990)","AGENESIS OF THE CORPUS CALLOSUM WITH PER... (OMIM:218000), Corpus callosum agenesis-neuronopathy sy... (ORPHA:1496)"
"KCNE2 (9992)","ATRIAL FIBRILLATION, FAMILIAL, 4 (OMIM:611493), LONG QT SYNDROME 6 (OMIM:613693)"
"DGCR2 (9993)","VELOCARDIOFACIAL SYNDROME (OMIM:192430)"
"DPH1 (1801)","DEVELOPMENTAL DELAY WITH SHORT STATURE, ... (OMIM:616901)"
"DPP6 (1804)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616311), Autosomal dominant primary microcephaly (ORPHA:2514)"
"TCTEX1D2 (255758)","SHORT-RIB THORACIC DYSPLASIA 17 WITH OR ... (OMIM:617405)"
"SCO2 (9997)","CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE... (OMIM:604377), MYOPIA 6 (OMIM:608908)"
"DPYD (1806)","1p21.3 microdeletion syndrome (ORPHA:293948), DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIEN... (OMIM:274270)"
"DPYS (1807)","DIHYDROPYRIMIDINASE DEFICIENCY (OMIM:222748)"
"AKT3 (10000)","Megalencephaly-polymicrogyria-postaxial ... (ORPHA:83473), MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYL... (OMIM:615937)"
"NR2E3 (10002)","ENHANCED S-CONE SYNDROME (OMIM:268100), Retinitis pigmentosa (ORPHA:791), RETINITIS PIGMENTOSA 37 (OMIM:611131)"
"SLC26A3 (1811)","DIARRHEA 1, SECRETORY CHLORIDE, CONGENIT... (OMIM:214700)"
"SOST (50964)","CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DO... (OMIM:122860), Hyperostosis corticalis generalisata (ORPHA:3416), HYPEROSTOSIS CORTICALIS GENERALISATA (OMIM:239100), Sclerosteosis (ORPHA:3152), SCLEROSTEOSIS 1 (OMIM:269500), Craniodiaphyseal dysplasia (ORPHA:1513)"
"DRD2 (1813)","Myoclonus-dystonia syndrome (ORPHA:36899), DYSTONIA 11, MYOCLONIC (OMIM:159900)"
"EVC2 (132884)","ELLIS-VAN CREVELD SYNDROME (OMIM:225500), Acrofacial dysostosis, Weyers type (ORPHA:952), WEYERS ACROFACIAL DYSOSTOSIS (OMIM:193530), Ellis Van Creveld syndrome (ORPHA:289)"
"ITCH (83737)","AUTOIMMUNE DISEASE, MULTISYSTEM, WITH FA... (OMIM:613385)"
"KCNE3 (10008)","BRUGADA SYNDROME 6 (OMIM:613119), Hypokalemic periodic paralysis (ORPHA:681)"
"SRA1 (10011)","HYPOGONADOTROPIC HYPOGONADISM 7 WITH OR ... (OMIM:146110)"
"HDAC6 (10013)","CHONDRODYSPLASIA WITH PLATYSPONDYLY, DIS... (OMIM:300863), X-linked dominant chondrodysplasia, Chas... (ORPHA:163966)"
"ATN1 (1822)","DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY NAI... (OMIM:125370)"
"DSC2 (1824)","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:610476)"
"RSPH4A (345895)","Primary ciliary dyskinesia (ORPHA:244), CILIARY DYSKINESIA, PRIMARY, 11 (OMIM:612649)"
"SH2B3 (10019)","THROMBOCYTHEMIA, ESSENTIAL (OMIM:187950), ERYTHROCYTOSIS, FAMILIAL, 1 (OMIM:133100), Essential thrombocythemia (ORPHA:3318), MYELOFIBROSIS (OMIM:254450)"
"GNE (10020)","NONAKA MYOPATHY (OMIM:605820), INCLUSION BODY MYOPATHY 2, AUTOSOMAL REC... (OMIM:600737), SIALURIA (OMIM:269921), GNE myopathy (ORPHA:602), Sialuria (ORPHA:3166)"
"DSG1 (1828)","PALMOPLANTAR KERATODERMA I, STRIATE, FOC... (OMIM:148700), ERYTHRODERMA, CONGENITAL, WITH PALMOPLAN... (OMIM:615508), Striate palmoplantar keratoderma (ORPHA:50942)"
"HCN4 (10021)","SICK SINUS SYNDROME 2 (OMIM:163800), BRUGADA SYNDROME 8 (OMIM:613123)"
"DSG2 (1829)","Familial isolated dilated cardiomyopathy (ORPHA:154), CARDIOMYOPATHY, DILATED, 1BB (OMIM:612877), ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:610193)"
"APOA5 (116519)","HYPERLIPOPROTEINEMIA, TYPE V (OMIM:144650)"
"NDUFAF2 (91942)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010), LEIGH SYNDROME (OMIM:256000)"
"DSP (1832)","Lethal acantholytic epidermolysis bullos... (ORPHA:158687), Woolly hair-palmoplantar keratoderma-dil... (ORPHA:65282), CARDIOMYOPATHY, DILATED, WITH WOOLLY HAI... (OMIM:605676), Striate palmoplantar keratoderma (ORPHA:50942), EPIDERMOLYSIS BULLOSA, LETHAL ACANTHOLYT... (OMIM:609638), ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:607450), CARDIOMYOPATHY, DILATED, WITH WOOLLY HAI... (OMIM:615821), SKIN FRAGILITY-WOOLLY HAIR SYNDROME (OMIM:607655), KERATOSIS PALMOPLANTARIS STRIATA II (OMIM:612908), Idiopathic pulmonary fibrosis (ORPHA:2032)"
"DSPP (1834)","DEAFNESS, AUTOSOMAL DOMINANT 39, WITH DE... (OMIM:605594), DENTIN DYSPLASIA, TYPE II (OMIM:125420), DENTINOGENESIS IMPERFECTA, SHIELDS TYPE ... (OMIM:125500), DENTINOGENESIS IMPERFECTA 1 (OMIM:125490)"
"SLC26A2 (1836)","ACHONDROGENESIS, TYPE IB (OMIM:600972), EPIPHYSEAL DYSPLASIA, MULTIPLE, 4 (OMIM:226900), ATELOSTEOGENESIS, TYPE II (OMIM:256050), DIASTROPHIC DYSPLASIA (OMIM:222600), Multiple epiphyseal dysplasia type 4 (ORPHA:93307), Diastrophic dwarfism (ORPHA:628), Achondrogenesis type 1B (ORPHA:93298)"
"COG7 (91949)","COG7-CDG (ORPHA:79333)"
"DTNA (1837)","LEFT VENTRICULAR NONCOMPACTION 1 (OMIM:604169)"
"DUSP6 (1848)","HYPOGONADOTROPIC HYPOGONADISM 7 WITH OR ... (OMIM:146110), Kallmann syndrome (ORPHA:478), HYPOGONADOTROPIC HYPOGONADISM 19 WITH OR... (OMIM:615269), Normosmic congenital hypogonadotropic hy... (ORPHA:432)"
"TPRKB (51002)","Galloway-Mowat syndrome (ORPHA:2065)"
"COQ6 (51004)","COENZYME Q10 DEFICIENCY, PRIMARY, 6 (OMIM:614650)"
"MAMLD1 (10046)","HYPOSPADIAS 2, X-LINKED (OMIM:300758), Familial hypospadias (ORPHA:440)"
"DVL1 (1855)","ROBINOW SYNDROME, AUTOSOMAL DOMINANT 2 (OMIM:616331), ROBINOW SYNDROME, AUTOSOMAL DOMINANT (OMIM:180700), Autosomal dominant Robinow syndrome (ORPHA:3107)"
"ASCC1 (51008)","SPINAL MUSCULAR ATROPHY WITH CONGENITAL ... (OMIM:616867), BARRETT ESOPHAGUS (OMIM:614266)"
"DNAJB6 (10049)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1E (OMIM:603511), Autosomal dominant limb-girdle muscular ... (ORPHA:34516)"
"DVL3 (1857)","ROBINOW SYNDROME, AUTOSOMAL DOMINANT 3 (OMIM:616894), Autosomal dominant Robinow syndrome (ORPHA:3107)"
"EXOSC3 (51010)","PONTOCEREBELLAR HYPOPLASIA, TYPE 1B (OMIM:614678)"
"DYRK1A (1859)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 7 (OMIM:614104)"
"TOR1A (1861)","Myoclonus-dystonia syndrome (ORPHA:36899), DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT (OMIM:128100), Early-onset generalized limb-onset dysto... (ORPHA:256)"
"ABCB6 (10058)","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3 (OMIM:615402), Familial pseudohyperkalemia (ORPHA:90044), MICROPHTHALMIA, ISOLATED, WITH COLOBOMA ... (OMIM:614497), Dyschromatosis universalis (ORPHA:241), PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO ... (OMIM:609153)"
"DNM1L (10059)","OPTIC ATROPHY 5 (OMIM:610708), ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHON... (OMIM:614388)"
"ABCC9 (10060)","ATRIAL FIBRILLATION, FAMILIAL, 12 (OMIM:614050), CARDIOMYOPATHY, DILATED, 1O (OMIM:608569), Familial isolated dilated cardiomyopathy (ORPHA:154), Acromegaloid facial appearance syndrome (ORPHA:965), Hypertrichotic osteochondrodysplasia, Ca... (ORPHA:1517), Hypertrichosis-acromegaloid facial appea... (ORPHA:966), HYPERTRICHOTIC OSTEOCHONDRODYSPLASIA (OMIM:239850)"
"MRPS16 (51021)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:610498)"
"PAM16 (51025)","SPONDYLOMETAPHYSEAL DYSPLASIA, MEGARBANE... (OMIM:613320)"
"HUWE1 (10075)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300706), X-linked intellectual disability, Turner... (ORPHA:85328)"
"ECE1 (1889)","Hirschsprung disease (ORPHA:388), HIRSCHSPRUNG DISEASE, CARDIAC DEFECTS, A... (OMIM:613870)"
"GPC6 (10082)","OMODYSPLASIA 1 (OMIM:258315)"
"TYMP (1890)","MITOCHONDRIAL DNA DEPLETION SYNDROME 1 (... (OMIM:603041)"
"CCNQ (92002)","TOE SYNDACTYLY, TELECANTHUS, AND ANOGENI... (OMIM:300707), Syndactyly-telecanthus-anogenital and re... (ORPHA:140952)"
"USH1C (10083)","USHER SYNDROME, TYPE I (OMIM:276900), DEAFNESS, NEUROSENSORY, AUTOSOMAL RECESS... (OMIM:602092), Usher syndrome type 1 (ORPHA:231169), USHER SYNDROME, TYPE IC (OMIM:276904)"
"PQBP1 (10084)","Hamel cerebro-palato-cardiac syndrome (ORPHA:93946), RENPENNING SYNDROME 1 (OMIM:309500), X-linked intellectual disability, Golabi... (ORPHA:93947)"
"ECHS1 (1892)","MITOCHONDRIAL SHORT-CHAIN ENOYL-COA HYDR... (OMIM:616277)"
"ECM1 (1893)","LIPOID PROTEINOSIS OF URBACH AND WIETHE (OMIM:247100), Lipoid proteinosis (ORPHA:530)"
"COL4A3BP (10087)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616351)"
"EDA (1896)","Oligodontia (ORPHA:99798), TOOTH AGENESIS, SELECTIVE, X-LINKED, 1 (OMIM:313500), X-linked hypohidrotic ectodermal dysplas... (ORPHA:181), ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-... (OMIM:305100)"
"GMNN (51053)","MEIER-GORLIN SYNDROME 6 (OMIM:616835), Ear-patella-short stature syndrome (ORPHA:2554)"
"WDPCP (51057)","CONGENITAL HEART DEFECTS, HAMARTOMAS OF ... (OMIM:217085), Heart defect-tongue hamartoma-polysyndac... (ORPHA:1338), Meckel syndrome (ORPHA:564), Bardet-Biedl syndrome (ORPHA:110)"
"EDN1 (1906)","QUESTION MARK EARS, ISOLATED (OMIM:612798), AURICULOCONDYLAR SYNDROME 3 (OMIM:615706)"
"EDN3 (1908)","Ondine syndrome (ORPHA:661), WAARDENBURG SYNDROME, TYPE 4B (OMIM:613265), Hirschsprung disease (ORPHA:388), CENTRAL HYPOVENTILATION SYNDROME, CONGEN... (OMIM:209880), Waardenburg-Shah syndrome (ORPHA:897)"
"EDNRA (1909)","MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA (OMIM:616367)"
